drug_name,max_phase,molecule_type,therapeutic_flag,target_chembl_id,target_name,target_gene,mechanism
ABACAVIR SULFATE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
ABAMETAPIR,4,Small molecule,1,,Copper,,SEQUESTERING AGENT
ABAMETAPIR,4,Small molecule,1,,Iron,,SEQUESTERING AGENT
ABAMETAPIR,4,Small molecule,1,,Metalloproteinase,,INHIBITOR
ABAMETAPIR,4,Small molecule,1,,Zinc,,SEQUESTERING AGENT
ABEMACICLIB,4,Small molecule,1,,Cyclin-dependent kinase 4,CDK4,INHIBITOR
ABEMACICLIB,4,Small molecule,1,,Cyclin-dependent kinase 6,CDK6,INHIBITOR
ABIRATERONE,3,Small molecule,1,,Androgen receptor,AR,ANTAGONIST
ABIRATERONE,3,Small molecule,1,,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,INHIBITOR
ABIRATERONE,3,Small molecule,1,,Steroid 5-alpha-reductase,SRD5A3,INHIBITOR
ABIRATERONE ACETATE,4,Small molecule,1,,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,INHIBITOR
ABROCITINIB,4,Small molecule,1,,Tyrosine-protein kinase JAK1,JAK1,INHIBITOR
ACALABRUTINIB,4,Small molecule,1,,Tyrosine-protein kinase BTK,BTK,INHIBITOR
ACALABRUTINIB MALEATE,4,Small molecule,1,,Tyrosine-protein kinase BTK,BTK,INHIBITOR
ACAMPROSATE CALCIUM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE MODULATOR
ACAMPROSATE CALCIUM,4,Small molecule,1,,Glutamate [NMDA] receptor,GRIN3B,ANTAGONIST
ACEBUTOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
ACECLOFENAC,2,Small molecule,1,,Prostaglandin G/H synthase 2,PTGS2,INHIBITOR
ACEMETACIN,2,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
ACENOCOUMAROL,3,Small molecule,1,,Vitamin K epoxide reductase complex subunit 1,VKORC1,INHIBITOR
ACETAMINOPHEN,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
ACETAMINOPHEN,4,Small molecule,1,,Fatty-acid amide hydrolase 1,FAAH,INHIBITOR
ACETAMINOPHEN,4,Small molecule,1,,Transient receptor potential cation channel subfamily V member 1,TRPV1,OPENER
ACETAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 1,CA1,INHIBITOR
ACETAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 12,CA12,INHIBITOR
ACETAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 2,CA2,INHIBITOR
ACETAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 4,CA4,INHIBITOR
ACETAZOLAMIDE SODIUM,4,Small molecule,1,,Carbonic anhydrase 1,CA1,INHIBITOR
ACETAZOLAMIDE SODIUM,4,Small molecule,1,,Carbonic anhydrase 12,CA12,INHIBITOR
ACETAZOLAMIDE SODIUM,4,Small molecule,1,,Carbonic anhydrase 2,CA2,INHIBITOR
ACETAZOLAMIDE SODIUM,4,Small molecule,1,,Carbonic anhydrase 4,CA4,INHIBITOR
ACETOHEXAMIDE,4,Small molecule,1,,"Sulfonylurea receptor 1, Kir6.2",KCNJ11,BLOCKER
ACETOHYDROXAMIC ACID,4,Small molecule,1,,Bacterial urease,ureC,INHIBITOR
ACETOPHENAZINE MALEATE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
ACETYLCHOLINE CHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,AGONIST
ACETYLDIGITOXIN,4,Small molecule,1,,Sodium/potassium-transporting ATPase,FXYD2,INHIBITOR
ACITRETIN,4,Small molecule,1,,Retinoid receptor,RXRG,AGONIST
ACLIDINIUM BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
ACORAMIDIS,4,Small molecule,1,,Transthyretin,TTR,STABILISER
ACORAMIDIS HYDROCHLORIDE,4,Small molecule,1,,Transthyretin,TTR,STABILISER
ACRIVASTINE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
ACYCLOVIR,4,Small molecule,1,,DNA polymerase catalytic subunit,,INHIBITOR
ACYCLOVIR SODIUM,4,Small molecule,1,,DNA polymerase catalytic subunit,,INHIBITOR
ADAGRASIB,4,Small molecule,1,,GTPase KRas,KRAS,INHIBITOR
ADAPALENE,4,Small molecule,1,,Retinoic acid receptor,RARG,AGONIST
ADEFOVIR DIPIVOXIL,4,Small molecule,1,,DNA polymerase/reverse transcriptase,P,INHIBITOR
ADENOSINE,4,Small molecule,1,,Adenosine receptor,ADORA3,AGONIST
AFATINIB DIMALEATE,4,Small molecule,1,,Epidermal growth factor receptor,EGFR,INHIBITOR
AFATINIB DIMALEATE,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-2,ERBB2,INHIBITOR
AFATINIB DIMALEATE,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-4,ERBB4,INHIBITOR
AGOMELATINE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
AGOMELATINE,4,Small molecule,1,,Melatonin receptor,MTNR1B,AGONIST
ALATROFLOXACIN MESYLATE,4,Small molecule,1,,Bacterial DNA gyrase,gyrB,INHIBITOR
ALATROFLOXACIN MESYLATE,4,Small molecule,1,,Topoisomerase IV,parE,INHIBITOR
ALBENDAZOLE,4,Small molecule,1,,Tubulin,,INHIBITOR
ALBUTEROL,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
ALBUTEROL SULFATE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
ALCAFTADINE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
ALCLOMETASONE DIPROPIONATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
ALCURONIUM,2,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,POSITIVE ALLOSTERIC MODULATOR
ALECTINIB HYDROCHLORIDE,4,Small molecule,1,,ALK tyrosine kinase receptor,ALK,INHIBITOR
ALECTINIB HYDROCHLORIDE,4,Small molecule,1,,EML4-ALK,EML4,INHIBITOR
ALECTINIB HYDROCHLORIDE,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
ALENDRONATE SODIUM,4,Small molecule,1,,Farnesyl pyrophosphate synthase,FDPS,INHIBITOR
ALFACALCIDOL,3,Small molecule,1,,Vitamin D3 receptor,VDR,AGONIST
ALFENTANIL HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
ALFUZOSIN HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,AGONIST
ALISKIREN FUMARATE,4,Small molecule,1,,Renin,REN,INHIBITOR
ALITRETINOIN,4,Small molecule,1,,Retinoid receptor,RXRG,AGONIST
ALLOPURINOL,4,Small molecule,1,,Xanthine dehydrogenase/oxidase,XDH,INHIBITOR
ALLOPURINOL SODIUM,4,Small molecule,1,,Xanthine dehydrogenase/oxidase,XDH,INHIBITOR
ALLYLESTRENOL,2,Small molecule,1,,Estrogen receptor,ESR2,AGONIST
ALLYLESTRENOL,2,Small molecule,1,,Progesterone receptor,PGR,AGONIST
ALMOTRIPTAN MALATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1B,HTR1B,AGONIST
