drug_name,SMILES,phase2_score,signed_score,net_positive,n_papers,models,confidence,final_score
(+)-terbutaline,CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,0.0,25.085,3.0,6.0,animal;human_observational,0.275,0.48964349376114086
(+)-tetrahydropalmatine,COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2,0.0,27.115,3.0,4.0,animal,0.1,0.4766666666666667
sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.8333333333333334,0.0,0.0,0.0,,0.0,0.45
(?)-thiopental,CCC[C@H](C)C1(CC)C(=O)NC(=S)NC1=O,0.0,18.436000000000003,8.0,13.0,animal,0.325,0.39263015551048014
(+)-ethosuximide,CC[C@@]1(C)CC(=O)NC1=O,0.0,6.759999999999999,2.0,6.0,animal,0.15,0.15218882537340953
1-butanol,CCCCO,0.0,7.540000000000001,2.0,4.0,animal,0.1,0.15180035650623888
(s)-mephenytoin,CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O,0.0,8.625,1.0,1.0,animal,0.025,0.1498069948982728
"1,2-dichloroethane",ClCCCl,0.0,7.935,1.0,2.0,animal,0.05,0.14502243530641099
(s)-donepezil,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,0.0,7.935,1.0,1.0,animal,0.025,0.1383557686397443
(s)-(+)-ibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0.1,3.68,1.0,2.0,animal,0.05,0.1284065400454853
"2,2,2-tribromoethanol",OCC(Br)(Br)Br,0.0,0.8800000000000001,-1.0,15.0,animal,0.375,0.11460446247464504
(-)-dizocilpine,C[C@@]12N[C@@H](Cc3ccccc31)c1ccccc12,0.0,2.392,2.0,9.0,animal,0.225,0.09969758436289877
(-)-camphor,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0.0,5.289999999999999,1.0,1.0,animal,0.025,0.09445940131538508
(+)-cannabidiol,C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,0.0,0.7650000000000001,-2.0,12.0,animal,0.3,0.09269592476489029
(+)-nicotine,CN1CCC[C@@H]1c1cccnc1,0.025,2.99,1.0,3.0,animal,0.075,0.08312198045362347
58-08-2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.0,2.99,1.0,1.0,animal,0.025,0.056288647120290136
fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,0.1,0.0,0.0,0.0,,0.0,0.054
sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc([S+](C)[O-])cc1,0.1,0.0,0.0,0.0,,0.0,0.054
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.1,0.0,0.0,0.0,,0.0,0.054
ketoprofen,O=C(NCCSCc1ccccc1)/C(=C/c1ccco1)c1ccccc1,0.1,0.0,0.0,0.0,,0.0,0.054
(r)-(-)-ibuprofen,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,0.1,0.0,0.0,0.0,,0.0,0.054
phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.1,0.0,0.0,0.0,,0.0,0.054
ketoprofen,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.1,0.0,0.0,0.0,,0.0,0.054
lornoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0.1,0.0,0.0,0.0,,0.0,0.054
ibuprofen ,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.1,0.0,0.0,0.0,,0.0,0.054
benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,0.1,0.0,0.0,0.0,,0.0,0.054
