compound_name,SMILES,drug_norm,num_targets_moa,ad_weight_sum,num_core_hits,ad_hit_targets,drug_name_out,ad_score_norm,core_gate,ad_score_gated,phase2_score
sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,sunitinib,9,7.5,1,CSF1R;FLT1;FLT4;KDR;PDGFRB;RET,sunitinib,0.8333333333333334,1,0.8333333333333334,0.8333333333333334
benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,benzydamine,1,2.0,0,PTGS2,benzydamine,2.0,0,0.1,0.1
fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,fenclofenac,1,2.0,0,PTGS2,fenclofenac,2.0,0,0.1,0.1
ketoprofen,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,ketoprofen,1,2.0,0,PTGS2,ketoprofen,2.0,0,0.1,0.1
(r)-ketoprofen,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,ketoprofen,1,2.0,0,PTGS2,(r)-ketoprofen,2.0,0,0.1,0.1
lornoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,lornoxicam,1,2.0,0,PTGS2,lornoxicam,2.0,0,0.1,0.1
sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc([S+](C)[O-])cc1,sulindac,1,2.0,0,PTGS2,sulindac,2.0,0,0.1,0.1
piroxicam,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,piroxicam,1,2.0,0,PTGS2,piroxicam,2.0,0,0.1,0.1
ibuprofen ,CC(C)Cc1ccc(C(C)C(=O)O)cc1,ibuprofen,1,2.0,0,PTGS2,ibuprofen ,2.0,0,0.1,0.1
(r)-(-)-ibuprofen,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,ibuprofen,1,2.0,0,PTGS2,(r)-(-)-ibuprofen,2.0,0,0.1,0.1
